Date,Tron Return,Tron Price,Famala Index,US Treasury Yield,Famala Index Return
2017-09-15,0.23280918398673275,0.0018008600454777,2282.811477594638,2.20,0.15144782012150282
2017-09-16,0.01666344575464105,0.0018311199964955,2283.336392446556,2.20,0.000229942269464759
2017-09-17,0.595012898913524,0.003319920040667,2240.1094276722292,2.20,-0.018931492055802586
2017-09-18,-0.017443843087380978,0.0032625100575387,2534.6380203886747,2.23,0.1314795558994186
2017-09-19,-0.35337309972295866,0.0022913101129233,2450.5484109507415,2.24,-0.03317618088323256
2017-09-20,0.14445801542835487,0.0026474099140614,2438.09986924791,2.28,-0.005079900338717105
2017-09-21,-0.24155052833799984,0.0020792998839169,2277.347895783763,2.27,-0.0659333013760979
2017-09-22,-0.06369940789992132,0.0019509800476953,2263.1515924572404,2.26,-0.006233699889597531
2017-09-23,0.18424351488665996,0.0023456800263375,2350.025401665617,2.26,0.03838620863839378
2017-09-24,-0.0434111774958924,0.0022460299078375,2272.4288551221653,2.26,-0.03301945012528553
2017-09-25,-0.23437833830908295,0.0017767499666661,2440.54170547929,2.22,0.07397936792528856
2017-09-26,-0.022165910913964526,0.0017377999611198,2419.8587689872234,2.24,-0.008474731837456942
2017-09-27,0.3877778618886185,0.0025609999429434,2615.310911825315,2.31,0.0807700620147736
2017-09-28,0.12642793459860752,0.0029061399400234,2611.8406385712356,2.31,-0.0013269065786360012
2017-09-29,-0.3822703080035875,0.0019828900694847,2621.587123246636,2.33,0.0037316536589047816
2017-09-30,0.13107484609965056,0.002260599983856,2741.3099899491244,2.33,0.0456680861913224
2017-10-01,-0.2016886444301133,0.0018476999830454,2786.8377271044556,2.33,0.016608022194591742
2017-10-02,0.4167522032914374,0.0028030099347233,2795.2623848803323,2.34,0.0030230169822733264
2017-10-03,-0.1360313390948353,0.0024465098977088,2732.4697140004037,2.33,-0.022463963032442434
2017-10-04,0.2840663978895678,0.0032502401154488,2650.5516774737225,2.33,-0.029979485630510828
2017-10-05,0.02130214837787775,0.003320219926536,2708.5806166677485,2.35,0.021893155182446448
2017-10-06,-0.10290653380044076,0.0029955399222671,2725.719884955726,2.37,0.0063277674596457145
2017-10-07,-0.19728030821670575,0.0024592198897153,2757.9797777808863,2.37,0.011835366136929539
2017-10-08,0.02836718283257289,0.0025299799162894,2886.7156505362213,2.37,0.04667759850614931
2017-10-09,-0.1483912263320272,0.0021810799371451,3077.043999459813,2.37,0.06593248936321022
2017-10-10,0.02014800490166826,0.0022254700306802,3066.943123718121,2.35,-0.0032826556082608356
2017-10-11,0.10422170731829926,0.0024699300993233,3090.827020108138,2.35,0.007787525045805907
2017-10-12,-0.05201529084984239,0.002344740089029,3633.7040583640496,2.33,0.1756413525325393
2017-10-13,-0.10418416011804978,0.0021127499639987,3715.7982022633564,2.28,0.022592413300786766
2017-10-14,0.12487914281470633,0.0023937700316309,3869.0978167458225,2.28,0.04125617327364242
2017-10-15,-0.046236615590849794,0.0022856099531054,3738.6139947852535,2.28,-0.033724611819278036
2017-10-16,-0.058178885262609135,0.0021564299240708,3783.1093887248157,2.30,0.01190157475514348
2017-10-17,-0.10386066022426822,0.0019437000155448,3742.9291619667442,2.30,-0.010620952933009211
2017-10-18,0.0748742062302164,0.0020948199089616,3754.2177919022733,2.34,0.0030159881331009316
2017-10-19,-0.08960375678963237,0.0019152800086885,3880.060339294592,2.33,0.03352031085243823
2017-10-20,0.013952367874205163,0.0019421899924054,4165.340505760344,2.39,0.07352467269042964
2017-10-21,0.1684057589970299,0.0022984200622886,4193.723909771781,2.39,0.0068141857723720296
2017-10-22,0.11673338528436993,0.0025830098893493,4197.005957143234,2.39,0.0007826093090690362
2017-10-23,-0.061936913200167434,0.0024278799537569,4163.770196584637,2.38,-0.00791892146400935
2017-10-24,0.08086994946448327,0.0026323799975216,3752.5058474706234,2.42,-0.0987721054950046
2017-10-25,0.14151876651781198,0.0030325599946081,3955.6173875611053,2.44,0.054126908350426474
2017-10-26,-0.06533907206943543,0.0028407499194145,4102.94512641548,2.46,0.03724519447145324
2017-10-27,0.07145702235291966,0.0030511699151247,3992.5710787246344,2.42,-0.026901175689686557
2017-10-28,-0.017172826461635468,0.0029992200434207,3976.778920877161,2.42,-0.0039553855237858294
2017-10-29,-0.014393449290764262,0.0029563601128757,4303.4050244732725,2.42,0.08213333204956422
2017-10-30,-0.06007726591943324,0.0027839799877256,4276.046118476778,2.37,-0.006357501987590154
2017-10-31,0.010551223886138356,0.0028135098982602,4592.550930488279,2.38,0.07401810065702628
2017-11-01,-0.11396673743995689,0.0025104600936174,4925.45205730725,2.37,0.07248719325222086
2017-11-02,-0.08244829991131372,0.0023117798846215,5206.816727426249,2.35,0.05712463888498826
2017-11-03,-0.03720974006567706,0.0022273398935794,5262.768339974962,2.34,0.0107458386722151
2017-11-04,-0.045648888163603955,0.002127950079739,5447.283528970708,2.34,0.03506048092487838
2017-11-05,0.041721720025320236,0.0022186099085956,5487.85119278204,2.34,0.007447320044124324
2017-11-06,-0.04293488836430629,0.0021253700833767,5109.978080781664,2.32,-0.06885629706894711
2017-11-07,0.026992310460722976,0.0021835200022906,5217.598666133595,2.32,0.021060870252396058
2017-11-08,0.0683746834528667,0.0023380399215966,5431.397132918457,2.32,0.040976410886599236
2017-11-09,0.002545899751608589,0.0023439999204128,5083.902637356766,2.33,-0.0639788413658074
2017-11-10,-0.152431440059549,0.0020125999581068,4710.631654821997,2.40,-0.07342213436424919
2017-11-11,-0.0046565634215720506,0.002003249945119,4412.129918483046,2.40,-0.06336766663413217
2017-11-12,-0.11668665527893834,0.0017826199764385,4093.8414070474464,2.40,-0.07213942411401877
2017-11-13,0.16946123331343557,0.0021118100266903,4599.057202401713,2.40,0.12340873647048221
2017-11-14,0.16276343787182085,0.0024850899353623,4596.901249631393,2.38,-0.0004687814644258776
2017-11-15,-0.06774220937599774,0.002322319895029,5197.009848978937,2.33,0.13054633257472406
2017-11-16,-0.049945219151515736,0.002209180034697,5676.334072713305,2.37,0.09223077070530121
2017-11-17,-0.10748624161167063,0.0019840400200337,5532.890416709365,2.35,-0.02527047459970477
2017-11-18,0.021914942846435415,0.00202800007537,5552.623528523085,2.35,0.003566510508526572
2017-11-19,-0.013103208616959043,0.002001600107178,5747.992315315344,2.35,0.03518495100355277
2017-11-20,0.06394341390894853,0.0021337699145078,5837.1513425734465,2.37,0.015511333760927455
2017-11-21,0.004517048486265254,0.002143430057913,5754.847907755093,2.36,-0.01409993162556383
2017-11-22,0.07155340731148527,0.0023024200927466,5843.624798708322,2.32,0.015426453031642275
2017-11-23,-0.0896548467002777,0.0021049799397587,5587.798391008228,2.32,-0.04377871894797935
2017-11-24,-0.03879059690227546,0.0020248899236321,5620.654560718361,2.34,0.005879984818887638
2017-11-25,0.011319032637295669,0.0020479399245232,6078.192784857828,2.34,0.08140301439926786
2017-11-26,0.043101878443852534,0.0021381399128586,6544.287770390303,2.34,0.0766831527117114
2017-11-27,-0.03645382338262655,0.0020616000983864,6900.535352988427,2.32,0.05443641769696766
2017-11-28,0.11290754382097182,0.0023080199025571,6958.8021900943895,2.34,0.008443814012303973
2017-11-29,-0.10967746389475101,0.0020682699978351,7073.440490922552,2.37,0.016473855370015597
2017-11-30,0.08146285061981018,0.0022438101004809,7278.024112422068,2.42,0.02892278824739689
2017-12-01,-0.05766065020841085,0.0021180899348109,7836.957623257243,2.37,0.07679742498808041
2017-12-02,-0.021619211925808002,0.0020727899391204,7911.208665333975,2.37,0.009474472830678834
2017-12-03,0.02062257677895865,0.0021159800235182,8097.261599426728,2.37,0.023517637059431423
2017-12-04,0.013122494640108855,0.0021439299453049,8286.431540495141,2.37,0.023362211871950155
2017-12-05,-0.02788129529553454,0.0020849800202995,8420.247539327636,2.36,0.016148808830260264
